author_id,created_at,text
115887,2025-07-25T09:30:10.212216,i’m pissed my @115888 shuffle and repeat button just don’t fucking work and i’m getting frustrated
SpotifyCares,2025-07-25T09:30:10.298069,"@115889 Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB"
115889,2025-07-25T09:30:10.384812,"@SpotifyCares Yes, multiple times. No changes. I am Premium User an when @115890  send us users to Spotify there should be a bugfree running App 🤨"
SpotifyCares,2025-07-25T09:30:10.472869,@115889 Sorry to hear that. The Spotify app on Windows Phone is currently in maintenance mode. More info here: https://t.co/KSq4qse4dE /RS
115889,2025-07-25T09:30:10.559559,@SpotifyCares 2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S
SpotifyCares,2025-07-25T09:30:10.645238,@115889 Hey there! That doesn't sound good. What's happening exactly? Can you let us know the app version you're using? /PB
115889,2025-07-25T09:30:10.731716,@SpotifyCares @115890 Groove Music quits &amp; redirect to Spotify. But the W10M App is a bugfest.. Any further Updates possible?
SpotifyCares,2025-07-25T09:30:10.816000,"@115891 No worries. If you have other questions, just give us a shout 😉 /GS"
SpotifyCares,2025-07-25T09:30:10.987289,"@115891 Hey Mikey! We're afraid there's no way to filter or search that way, but we'll pass that suggestion on to the relevant folks /GS"
115866,2025-07-25T09:30:01.398585,@AppleSupport Hi! What is going on? Has Youtube lost it? What can be done about it? Thanks for the support! https://t.co/T8ZZp4IH6t
115867,2025-07-25T09:30:01.568487,@AppleSupport ? hello
115867,2025-07-25T09:30:01.652831,"@AppleSupport my Apple TV works fine with my phone, but when playing videos on Mac air it stutters so much &amp; sound is still on Mac not tv?"
115869,2025-07-25T09:30:02.166352,Hey @115858! Last time I downloaded an update my freaking phone gave me hell. Any recommendations?
115876,2025-07-25T09:30:03.741747,@115877 got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! https://t.co/BGzU59vYJS
115884,2025-07-25T09:30:05.831985,.@delta this has been my inflight studio experience today. Nothing works except Twitter #toobadforyouandme https://t.co/VLo4ufL73y
115891,2025-07-25T09:30:10.902074,@SpotifyCares ok thx
115891,2025-07-25T09:30:11.074617,is there a way to find non-explicit songs that are explicit @SpotifyCares
British_Airways,2025-07-25T09:30:11.163771,"@115892 caused. We're unable to offer a complimentary upgrade, however we can quote an upgrade if you would like us to? ^Jane 2/2"
British_Airways,2025-07-25T09:30:11.335611,"@115892 Please can you DM us your booking reference, email address and contact number? We can then look into this for you. Thanks. ^Jane"
115871,2025-07-25T09:30:02.860688,I just need @115858 to do something about the battery life because it sucks ass
Uber_Support,2025-07-25T09:30:02.946931,@115872 Happy to follow up! Contact us via https://t.co/1xM0TILvAI so we can connect.
Uber_Support,2025-07-25T09:30:03.120220,@115872 We apologize for the trouble! Send us a DM with your email address and we'll connect.
Uber_Support,2025-07-25T09:30:03.294588,"@115874 We're here to help! Send us a note here, https://t.co/WFtPA6RjWt and our team will be in touch."
Uber_Support,2025-07-25T09:30:03.474218,"@115875 We’re here to help, Travis! Send us a note via https://t.co/dwDjAokZht and we'll be in touch."
115875,2025-07-25T09:30:03.564361,@Uber_Support I’m not getting your texts. https://t.co/GhefNjQTfg
Uber_Support,2025-07-25T09:30:03.653966,@115876 For more info about UberEats availability click here; https://t.co/3A9YFZQFaF
Uber_Support,2025-07-25T09:30:03.827688,@115878 We have received your DM and will follow up with you there.
115878,2025-07-25T09:30:03.914150,@Uber_Support @115879 wouldn't do this to me 😔
115878,2025-07-25T09:30:04.003708,@Uber_Support Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous
Uber_Support,2025-07-25T09:30:04.089361,@115878 We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?
115878,2025-07-25T09:30:04.179430,Literally stranded because of @115873 and because there is no support phone number I have to wait from a message from @Uber_Support Smh 🤦🏾‍♂️
Uber_Support,2025-07-25T09:30:04.266647,"@115880 We're sorry to hear this was your experience, Ray. Please contact us via https://t.co/aBEgvdNWQN and we'll be in touch."
115880,2025-07-25T09:30:04.356384,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver @115873 standards down now 4 applying!"
Tesco,2025-07-25T09:30:04.446354,"@115881 Hi Cade, thanks so much for sending that over. I have sent an email to the Store Manager to look into this for you. 1/2"
115881,2025-07-25T09:30:04.530635,"@Tesco Tall lady 6ft, slim, was on the till about 15:10, think she had blonde hair. She served the guy after knowing he didn’t queue up like others"
Tesco,2025-07-25T09:30:04.615523,"@115881 Hi Cade, what was my colleagues name? Can you give a description? When were you in our store? - Nick"
115881,2025-07-25T09:30:04.704844,@Tesco 3/3 on the wrong which I really don’t appreciate. This needs to be investigate and I was simply queuing to pay and the guy pushed in😡
115882,2025-07-25T09:30:04.874764,@Delta I checked daily and flight 1403 was never offered as an option as I most certainly would have made the adjust on my trip.
115882,2025-07-25T09:30:05.048232,"@Delta why wasn't earlier flight offered when I tried to rebook, not cool at all. Just happened to look at moniter after deplaning."
115885,2025-07-25T09:30:06.003086,@Delta Is that not what I’ve done already?
115885,2025-07-25T09:30:06.089479,@Delta Can you reply on the DM thread?
115885,2025-07-25T09:30:06.176192,@Delta I did this some time ago now but haven’t heard from you...
115885,2025-07-25T09:30:06.344372,"@Delta Actually, I just looked again and they disagree and say it's on you. Any idea what I should do? https://t.co/twIogKd3Kx"
115885,2025-07-25T09:30:06.428631,@Delta Hi - and thanks. Think I just figured this out. Would it be you’re not running the MEX-MID flight so I need to check in via AeroMexico?
115885,2025-07-25T09:30:06.598757,"@Delta I'm flying JFK-MEX-MID tomorrow and you say I'm booked in, but it looks like it's just the first leg. Can you check, please?"
115892,2025-07-25T09:30:11.248889,"@British_Airways Sure, how much would an upgrade cost, out of curiosity?"
115892,2025-07-25T09:30:11.421676,"@British_Airways Or, more importantly, are there earlier flights than the itinerary I was rebooked on? That's my preference."
115892,2025-07-25T09:30:11.506208,"@British_Airways This itinerary is preferred--I was unable to view other options in the ""Manage my Booking"" link included in the original cancelation email. https://t.co/kfddWeSW49"
